id,date,average_price,total_volume,total_bags,type,year,region
1,2015-12-27,1.33,64236.62,8696.87,conventional,2015,Albany
2,2015-12-20,1.35,54876.98,9505.56,conventional,2015,Albany
3,2015-12-13,0.93,118220.22,8145.35,conventional,2015,Albany
4,2015-12-06,1.08,78992.15,5811.16,conventional,2015,Albany
5,2015-11-29,1.28,51039.6,6183.95,conventional,2015,Albany
6,2015-11-22,1.26,55979.78,6683.91,conventional,2015,Albany
7,2015-11-15,0.99,83453.76,8318.86,conventional,2015,Albany
8,2015-11-08,0.98,109428.33,6829.22,conventional,2015,Albany
9,2015-11-01,1.02,99811.42,11388.36,conventional,2015,Albany
10,2015-10-25,1.07,74338.76,8625.92,conventional,2015,Albany
11,2015-10-18,1.12,84843.44,8205.66,conventional,2015,Albany
12,2015-10-11,1.28,64489.17,10123.9,conventional,2015,Albany
13,2015-10-04,1.31,61007.1,8756.75,conventional,2015,Albany
14,2015-09-27,0.99,106803.39,6034.46,conventional,2015,Albany
15,2015-09-20,1.33,69759.01,9267.36,conventional,2015,Albany
16,2015-09-13,1.28,76111.27,9286.68,conventional,2015,Albany
17,2015-09-06,1.11,99172.96,7990.1,conventional,2015,Albany
18,2015-08-30,1.07,105693.84,10306.73,conventional,2015,Albany
19,2015-08-23,1.34,79992.09,10880.36,conventional,2015,Albany
20,2015-08-16,1.33,80043.78,10443.22,conventional,2015,Albany
21,2015-08-09,1.12,111140.93,9225.89,conventional,2015,Albany
22,2015-08-02,1.45,75133.1,11847.02,conventional,2015,Albany
23,2015-07-26,1.11,106757.1,13192.69,conventional,2015,Albany
24,2015-07-19,1.26,96617.0,11287.48,conventional,2015,Albany
25,2015-07-12,1.05,124055.31,24431.9,conventional,2015,Albany
26,2015-07-05,1.35,109252.12,29898.96,conventional,2015,Albany
27,2015-06-28,1.37,89534.81,26662.08,conventional,2015,Albany
28,2015-06-21,1.27,104849.39,21875.65,conventional,2015,Albany
29,2015-06-14,1.32,89631.3,29002.59,conventional,2015,Albany
30,2015-06-07,1.07,122743.06,22775.21,conventional,2015,Albany
31,2015-05-31,1.23,95123.62,23681.01,conventional,2015,Albany
32,2015-05-24,1.19,101470.91,29355.13,conventional,2015,Albany
33,2015-05-17,1.43,109857.47,26657.44,conventional,2015,Albany
34,2015-05-10,1.26,120427.91,16821.3,conventional,2015,Albany
35,2015-05-03,1.2,59197.67,12570.51,conventional,2015,Albany
36,2015-04-26,1.22,49585.46,12778.44,conventional,2015,Albany
37,2015-04-19,1.19,49064.73,14301.92,conventional,2015,Albany
38,2015-04-12,1.13,48364.29,17104.37,conventional,2015,Albany
39,2015-04-05,1.16,47362.13,10728.94,conventional,2015,Albany
